name,gender,meaning
Dharmakeerti,Male,fame of religion
Dharmaketu,Male,who upholds the right way
Dharmanand,Male,takes pleasure religion
Dharmaraaj,Male,king of religion
Dharmaveer,Male,protector of religion
Dharmendra,Male,Lord of religion
Dharmendu,Male,light of religion
Dharmesh,Male,Lord of religion
Dharmik,Male,A Name for Lord Ganesha
Dharm-mitra,Male,friend of religion
Dharmpaal,Male,protector of religion
Dharuna,Male,a rishi
Dhatri,Male,a son of Vishnu/Lakshmi
Dhaval,Male,Fair complexioned
Dheeman,Male,intelligent
Dheemant,Male,wise; intelligent
Dheer,Male,tolerant
Dheeraj,Male,"patience, consolation"
Dheerandra,Male,god of courage
Dhimant,Male,Intelligent
Dhiraj,Male,Patience
Dhiren,Male,One who is strong
Dhirendra,Male,Lord of the brave
Dhritiman,Male,patient
Dhrupad,Male,Lord Krishna
Dhruv,Male,the polar star
Dhuha,Male,forenoon
Dhyanesh,Male,meditative
Dhyaneshwar,Male,Lord of meditation
Digant,Male,horizon
Digambar,Male,unencumbered
Digvastra,Male,Sky Clad
Digvijay,Male,who is victorious over everyone
Dikshan,Male,initiation
Dilawar,Male,brave
Dilber,Male,lover
Dileep,Male,king of the solar race
Dilip,Male,"A king, ancestor of Rama"
Dinakar,Male,the sun
Dinanath,Male,protector
Dinar,Male,gold coin
Dindayal,Male,kind to the poor
Dinendra,Male,"lord of the day, the sun"
Dinesh,Male,the sun
Dinpal,Male,sun
Dipal,Male,"diya, light"
Dipankar,Male,Moon
Dipen,Male,Lord of the lamp
Dipendu,Male,Moon
Dipesh,Male,Lord of light
Diptanshu,Male,Sun
Divaakar,Male,the sun
Divit,Male,Immortal
Divyanshu,Male,"divine light, sun"
Divyendu,Male,the moon
Divyesh,Male,Sun
Dron,Male,Mahabharata Guru
Drupad,Male,"a king, father of draupadi"
Dulal,Male,Loved one
Duranjaya,Male,A heroic son
Durga,Male,unreachable
Durgadas,Male,devotee of Godess Durga
Durgadutt,Male,gift from Godess Durga
Durgesh,Male,lord of forts
Durijesh,Male,Moon
Durja,Male,the Invincible
Durjaya,Male,Difficult to conquer
Durvish,Male,who cannot be affected by poison
Dushyant,Male,name of a King
Dwaraka,Male,Lord Krishna's kingdom
Dwarakadas,Male,servant of Dwaraka
Dwarakanath,Male,"lord of Dwaraka, Krishna"
Dwaipayan,Male,the sage Vyasa
Dwijaraj,Male,king of brahmins; the moon
Dwijendra,Male,king of brahmins; the moon
Dwijesh,Male,Lord of brahmins
Dyumna,Male,glorious
Dyumani,Male,Lord Shiva
